# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Thu Jul 25 08:34:27 2024,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: *,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,
# COLUMN st_lum:         Stellar Luminosity [log(Solar)],,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,
#,,,,,,,,,,,
pl_name,sy_pnum,discoverymethod,pl_orbsmax,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist
11 Com b,1,Radial Velocity,1.21,5434.7,,,,2.6,,,93.1846
11 Com b,1,Radial Velocity,1.29,6165.6,0.231,4742,19,2.7,2.243,2.31,93.1846
11 Com b,1,Radial Velocity,1.178,4914.89849,0.238,4874,13.76,2.09,1.978,2.45,93.1846
11 UMi b,1,Radial Velocity,1.53,4684.8142,0.08,4213,29.79,2.78,,1.93,125.321
11 UMi b,1,Radial Velocity,1.51,3432.4,,,,1.7,,,125.321
11 UMi b,1,Radial Velocity,1.54,3337.07,0.08,4340,24.08,1.8,,1.6,125.321
14 And b,1,Radial Velocity,0.775,1131.1513,0,4888,11.55,1.78,1.84,2.55,75.4392
14 And b,1,Radial Velocity,0.68,1017,,,,1.2,,,75.4392
14 And b,1,Radial Velocity,0.83,1525.5,0,4813,11,2.2,1.763,2.63,75.4392
14 Her b,2,Radial Velocity,2.77,1474.67,0.369,,,,,,17.9323
14 Her b,2,Radial Velocity,2.864,1581.138,0.359,5280,1,0.91,-0.153,4.4,17.9323
14 Her b,2,Radial Velocity,2.774,2559.47216,0.373,,,0.91,,,17.9323
14 Her b,2,Radial Velocity,2.93,1481.0878,0.37,5338,0.93,0.9,,4.45,17.9323
14 Her b,2,Radial Velocity,2.8,1506.45,0.338,5255,,0.9,-0.15,4.4,17.9323
14 Her b,2,Radial Velocity,2.83,1541.46777,0.3674,5314.94,1,0.97,,4.43,17.9323
14 Her b,2,Radial Velocity,2.82,1554.12,0.37,,,1,,,17.9323
14 Her b,2,Radial Velocity,2.73,1440.663,0.357,,,0.9,,,17.9323
16 Cyg B b,1,Radial Velocity,1.676,556.83537,0.6832,5711.97,1.16,0.98,,4.3,21.1397
16 Cyg B b,1,Radial Velocity,1.681,533.9544,0.681,5674,,0.99,,4.36,21.1397
16 Cyg B b,1,Radial Velocity,1.6,476.7,0.634,5760,,1,,4.35,21.1397
16 Cyg B b,1,Radial Velocity,1.68,533.93,0.689,5747,1.13,1.03,0.097,4.35,21.1397
16 Cyg B b,1,Radial Velocity,1.68,533.93,0.689,,,,,,21.1397
16 Cyg B b,1,Radial Velocity,1.66,565.7374,0.68,5750,1.13,1.08,,4.36,21.1397
17 Sco b,1,Radial Velocity,1.45,1373.01872,0.06,4157,25.92,1.22,2.254,1.7,124.953
18 Del b,1,Radial Velocity,2.6,3273.5,0.08,4979,8.5,2.3,1.602,2.82,76.222
18 Del b,1,Radial Velocity,2.476,2926.24614,0.024,4980,8.8,2.1,1.634,2.87,76.222
18 Del b,1,Radial Velocity,2.54,3127.3,,,,2.1,,,76.222
1RXS J160929.1-210524 b,1,Imaging,330,4000,,4060,,0.85,-0.37,,139.135
1RXS J160929.1-210524 b,1,Imaging,330,3000,,4060,,0.85,-0.37,,139.135
